title,dataid,uploaderid,original-image,artist-tags,copyright-tags,character-tags,general-tags,meta-tags,datascore,source-link
zakuro (otome youkai zakuro) drawn by aine_(haibane),830945,13047,https://cdn.donmai.us/original/1d/57/1d5756cdd65a19845bc10d9d6b143692.jpg,,,,,,1,https://www.pixiv.net/artworks/14809300
"gokou ruri, kousaka kirino, elysia de lute ima, and zakuro (ore no imouto ga konna ni kawaii wake ga nai and 2 more) drawn by kuroya_shinobu and misaki_kurehito",827890,11672,https://cdn.donmai.us/original/07/d2/07d2b109f03f76c7e4132d915a84ebf5.png,,,,,,18,https://yande.re/post/show/168427
agemaki kei (otome youkai zakuro) drawn by sesto,827489,131377,https://cdn.donmai.us/original/90/67/906778608df81010ace108ddf2cb0f84.jpg,,,,,,2,https://www.pixiv.net/artworks/13971882
zakuro (otome youkai zakuro) drawn by ibodi33,827488,131377,https://cdn.donmai.us/original/cd/53/cd53af6021928c7aab9c534af8374b69.jpg,,,,,,5,https://www.pixiv.net/artworks/15516600
"bonbori, hoozuki, and hanakiri ganryuu (otome youkai zakuro) drawn by amane_(kotoune)",827487,131377,https://cdn.donmai.us/original/ea/4d/ea4df9127e711f23cb7ef099ad739c88.jpg,,,,,,1,https://www.pixiv.net/artworks/15729060
zakuro (otome youkai zakuro) drawn by oumi_neneha,827484,131377,https://cdn.donmai.us/original/32/f5/32f57e56802b2301bb3bcfae51092ded.jpg,,,,,,2,https://www.pixiv.net/artworks/15701734
"stocking, panty, ikamusume, sherlock shellingford, elysia de lute ima, and 3 more (panty & stocking with garterbelt and 5 more) drawn by oyuyamio",827314,11672,https://cdn.donmai.us/original/9d/9f/9d9fc0d31350c79c840bf67a54155a81.jpg,,,,,,6,https://www.pixiv.net/artworks/15580560
zakuro (otome youkai zakuro) drawn by kan_satomi,818978,79844,https://cdn.donmai.us/original/1d/62/1d6286376df95866195986d347346013.jpg,,,,,,4,https://www.pixiv.net/artworks/15546474
susukihotaru (otome youkai zakuro) drawn by gofu,817871,104404,https://cdn.donmai.us/original/15/af/15afae1c57eefe264ec85f334bdf74a7.jpg,,,,,,3,https://www.pixiv.net/artworks/15536378
susukihotaru (otome youkai zakuro),817611,20596,https://cdn.donmai.us/original/09/8a/098a9be86565d16cde496887f5eeccde.jpg,,,,,,0,
zakuro and susukihotaru (otome youkai zakuro) drawn by takitsume_shino,816255,110107,https://cdn.donmai.us/original/99/2c/992c73256afb91007ccab8e9e396dcd6.jpg,,,,,,4,https://www.pixiv.net/artworks/15467262
zakuro (otome youkai zakuro) drawn by kopperi,810916,131377,https://cdn.donmai.us/original/d6/e8/d6e8a2fa8c25fa840f229511daa7f632.jpg,,,,,,5,https://www.pixiv.net/artworks/15273963
"zakuro, susukihotaru, bonbori, and hoozuki (otome youkai zakuro) drawn by takitsume_shino",810055,1,https://cdn.donmai.us/original/cd/dd/cdddeae13865b7a15e94246a3b7d5027.jpg,,,,,,3,https://www.pixiv.net/artworks/15253118
byakuroku and daidai (otome youkai zakuro) drawn by fujiwara_truffe,808621,131377,https://cdn.donmai.us/original/64/24/6424daa70318c2f3f13b23d28767ae0a.jpg,,,,,,3,https://www.pixiv.net/artworks/15217615
zakuro (otome youkai zakuro) drawn by jaga_note,806079,39411,https://cdn.donmai.us/original/17/fc/17fcc26a93bf257e96433f1f37a6b9c5.png,,,,,,22,https://www.pixiv.net/artworks/14973955
zakuro and agemaki kei (otome youkai zakuro) drawn by terram,805780,131377,https://cdn.donmai.us/original/64/ec/64ec92ca9985ba727fba3173dfcc6ace.jpg,,,,,,2,https://www.pixiv.net/artworks/15120778
bonbori and hoozuki (otome youkai zakuro) drawn by applique,804640,131377,https://cdn.donmai.us/original/64/b4/64b452f65b023a862a02ee9b85ac272c.jpg,,,,,,2,https://www.pixiv.net/artworks/14384263
zakuro and agemaki kei (otome youkai zakuro) drawn by mori_(iris),804638,131377,https://cdn.donmai.us/original/74/0a/740aa4ca075170fd5fc2e89075d138a5.jpg,,,,,,1,https://www.pixiv.net/artworks/14090193
susukihotaru (otome youkai zakuro) drawn by haru_(manhoul),804636,131377,https://cdn.donmai.us/original/07/97/0797be16370ad695ed4a7e28fd29101d.jpg,,,,,,1,https://www.pixiv.net/artworks/14409663
"bonbori, hoozuki, sakura, and kiri (otome youkai zakuro) drawn by suzutama",804635,131377,https://cdn.donmai.us/original/ae/81/ae812a4665670c113a62d6ec99d1472f.jpg,,,,,,1,https://www.pixiv.net/artworks/14334021
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by otowe,804633,131377,https://cdn.donmai.us/original/ee/cb/eecbeac0ad8a6345c53d46c2c6dda52d.jpg,,,,,,3,https://www.pixiv.net/artworks/14180420
zakuro (otome youkai zakuro) drawn by rihara,804623,131377,https://cdn.donmai.us/original/19/2b/192b1aaa47a29781a2c18b4b2c34d05e.jpg,,,,,,6,https://www.pixiv.net/artworks/14143991
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by kate_niemczyk,804622,131377,https://cdn.donmai.us/original/9a/b7/9ab7d60da79b9ed317a7c95dd6037645.png,,,,,,0,https://www.pixiv.net/artworks/14209376
zakuro and agemaki kei (otome youkai zakuro) drawn by neko_(nekopunch),804618,131377,https://cdn.donmai.us/original/de/ae/deae79a672e230792b04213048663170.jpg,,,,,,2,https://www.pixiv.net/artworks/14621033
"bonbori, hoozuki, and hanakiri ganryuu (otome youkai zakuro) drawn by minafuni",804611,131377,https://cdn.donmai.us/original/a8/2d/a82db8479fc157659e1b8282672e67c0.jpg,,,,,,2,https://www.pixiv.net/artworks/13876325
bonbori and hoozuki (otome youkai zakuro) drawn by kou_2_(asu-1222),804609,131377,https://cdn.donmai.us/original/ec/79/ec7948b7fe859c26387127215762c7d8.jpg,,,,,,0,https://www.pixiv.net/artworks/13836387
zakuro and agemaki kei (otome youkai zakuro) drawn by chico-noche,804605,131377,https://cdn.donmai.us/original/15/39/1539f8791c7492eec39ff5f8a92e3d86.jpg,,,,,,0,https://www.pixiv.net/artworks/13751109
"zakuro, susukihotaru, bonbori, hoozuki, agemaki kei, and 2 more (otome youkai zakuro) drawn by chico-noche",804602,131377,https://cdn.donmai.us/original/f5/95/f5959c23f5d946d5ed99656075b49df9.jpg,,,,,,1,https://www.pixiv.net/artworks/13917265
bonbori (otome youkai zakuro) drawn by dai_(mebae16),804597,131377,https://cdn.donmai.us/original/45/c2/45c25313181d6d29fc8c759135afa48e.png,,,,,,0,https://www.pixiv.net/artworks/14524439
zakuro and mamezou (otome youkai zakuro) drawn by micha_(chaho),804590,131377,https://cdn.donmai.us/original/d8/80/d880675e3741ef5897f40510deb36750.jpg,,,,,,1,https://www.pixiv.net/artworks/14791386
bonbori and hoozuki (otome youkai zakuro) drawn by nucomas,804584,131377,https://cdn.donmai.us/original/46/87/468788b3731a9fb19b6ff88b12b6d539.jpg,,,,,,11,https://www.pixiv.net/artworks/14791499
zakuro and susukihotaru (otome youkai zakuro) drawn by tama_two_(fukuya),804528,131377,https://cdn.donmai.us/original/1b/37/1b37652e430a50419a927b428886b540.jpg,,,,,,2,https://www.pixiv.net/artworks/13740569
zakuro (otome youkai zakuro) drawn by suguru_(godai_fifth),804523,131377,https://cdn.donmai.us/original/c0/05/c0059735c2c4bf36bb31f705097fc1af.jpg,,,,,,3,https://www.pixiv.net/artworks/13721282
"bonbori, hoozuki, and hanakiri ganryuu (otome youkai zakuro) drawn by chico-noche",804519,131377,https://cdn.donmai.us/original/45/64/4564db35dddcc29c4097112c41477cd9.jpg,,,,,,2,https://www.pixiv.net/artworks/13718036
zakuro (otome youkai zakuro) drawn by nora-neko,804517,131377,https://cdn.donmai.us/original/2f/d5/2fd5da5d2e4b18ba2d29a6706c9160a8.jpg,,,,,,1,https://www.pixiv.net/artworks/13705806
zakuro (otome youkai zakuro) drawn by bunbun_(bunbun87),804515,131377,https://cdn.donmai.us/original/47/17/471771b7e347363d04a3b58704e56f87.png,,,,,,2,https://www.pixiv.net/artworks/14722774
"bonbori, hoozuki, and hanakiri ganryuu (otome youkai zakuro) drawn by towako",804505,131377,https://cdn.donmai.us/original/d0/2c/d02cf57d94c58eecdaa0d4a6582ca68d.jpg,,,,,,6,https://www.pixiv.net/artworks/14546643
byakuroku (otome youkai zakuro) drawn by izumin_(lc_123),804504,131377,https://cdn.donmai.us/original/eb/5a/eb5ac1019307a7918b46625f8c67af97.jpg,,,,,,3,https://www.pixiv.net/artworks/14432272
"bonbori, hoozuki, and hanakiri ganryuu (otome youkai zakuro) drawn by chisso",804500,131377,https://cdn.donmai.us/original/b1/5c/b15cd9e896cdd37726974c6ee01443fb.png,,,,,,2,https://www.pixiv.net/artworks/14429861
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by kurukuma,804499,131377,https://cdn.donmai.us/original/d1/f3/d1f38ae5219b373d3e90d2e7a7c7de63.jpg,,,,,,1,https://www.pixiv.net/artworks/14446478
susukihotaru (otome youkai zakuro) drawn by yuzuki_yua,804496,131377,https://cdn.donmai.us/original/1a/1c/1a1cabb2b5095a535c750bd218899492.jpg,,,,,,1,https://www.pixiv.net/artworks/14113099
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by maekawa_suu,804494,131377,https://cdn.donmai.us/original/02/0b/020b31ce90ed4a1154f9fc2d3b4d9072.jpg,,,,,,0,https://www.pixiv.net/artworks/14070712
zakuro (otome youkai zakuro) drawn by naka_53,804493,131377,https://cdn.donmai.us/original/86/56/8656039d7f99cc57c890d685304ec1b8.jpg,,,,,,2,https://www.pixiv.net/artworks/13978819
"zakuro, susukihotaru, bonbori, hoozuki, agemaki kei, and 11 more (otome youkai zakuro) drawn by fuuchisou and hassaku_(kuramatengu)",804275,131377,https://cdn.donmai.us/original/a8/24/a8242ad23f622bb1097a860da2aa299c.jpg,,,,,,2,https://www.pixiv.net/artworks/15045535
zakuro and agemaki kei (otome youkai zakuro) drawn by umesuki,804266,131377,https://cdn.donmai.us/original/45/0d/450ddf86b1bed34a7ce2fa24bf27a11b.png,,,,,,2,https://www.pixiv.net/artworks/15059938
"zakuro, susukihotaru, bonbori, hoozuki, and mamezou (otome youkai zakuro) drawn by murasaki_gohan",804264,131377,https://cdn.donmai.us/original/a4/86/a48697404b5afec8993b83c016994d6e.jpg,,,,,,1,https://www.pixiv.net/artworks/14780906
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by peko_(opal),804261,131377,https://cdn.donmai.us/original/bb/92/bb92280b55577aa4d12c365fe1c66357.jpg,,,,,,0,https://www.pixiv.net/artworks/15060847
"hatsune miku, fate testarossa, nakano azusa, takamachi nanoha, hiiragi kagami, and 42 more (vocaloid and 39 more) drawn by denpa_usagi",804159,49984,https://cdn.donmai.us/original/ca/9f/ca9fa79287f9c3088a1603294dad7294.jpg,,,,,,31,https://www.pixiv.net/artworks/14859412
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by momoi_ryouta,803261,9498,https://cdn.donmai.us/original/6b/c2/6bc250c7e10c80cee42c2b7439b28626.jpg,,,,,,2,https://www.pixiv.net/artworks/14906221
zakuro and agemaki kei (otome youkai zakuro) drawn by momoi_ryouta,803260,9498,https://cdn.donmai.us/original/f7/de/f7de5f9f380e8eed1090abe65fe3bd6c.jpg,,,,,,5,https://www.pixiv.net/artworks/14890170
susukihotaru (otome youkai zakuro) drawn by takitsume_shino,800572,1,https://cdn.donmai.us/original/1a/8b/1a8bc62a32a59c73fcac9b53c5609eef.jpg,,,,,,1,https://www.pixiv.net/artworks/15253118
zakuro and agemaki kei (otome youkai zakuro) drawn by mosho,799885,79844,https://cdn.donmai.us/original/82/32/82322ae380a9705fb92b0c80c5032347.jpg,,,,,,2,https://www.pixiv.net/artworks/14951780
zakuro (otome youkai zakuro) drawn by mitsuki_(goomoku),799884,79844,https://cdn.donmai.us/original/db/99/db99738344da42c528d7529ee1a2ae45.jpg,,,,,,1,https://www.pixiv.net/artworks/14953007
zakuro (otome youkai zakuro) drawn by domotolain,798831,55843,https://cdn.donmai.us/original/5e/2c/5e2c10ae49c45338dfe248282fff7b5b.jpg,,,,,,5,http://blog-imgs-46.fc2blog.net/d/a/y/daydreamania/101009zakuro.jpg
zakuro (otome youkai zakuro) drawn by kou_2_(asu-1222),794286,9549,https://cdn.donmai.us/original/94/e1/94e14acdd76e6b5fdb30cc9a1cc05b39.jpg,,,,,,2,https://www.pixiv.net/artworks/13722630
"bonbori, hoozuki, and hanakiri ganryuu (otome youkai zakuro) drawn by xylit01",793987,131377,https://cdn.donmai.us/original/2e/e7/2ee7b98f8747d04816c654fe4f951007.jpg,,,,,,0,https://www.pixiv.net/artworks/14771211
yakumo ran and kushimatsu (touhou and 1 more) drawn by dearmybrothers,793879,79844,https://cdn.donmai.us/original/ae/8a/ae8a4af4a11866616c01ff27fb08190a.jpg,,,,,,4,https://www.pixiv.net/artworks/14763540
zakuro (otome youkai zakuro) drawn by hijiri-tukasa,792679,110107,https://cdn.donmai.us/original/cf/cd/cfcd8e33d6df107d23d5c8e112a05770.jpg,,,,,,5,https://www.pixiv.net/artworks/14699226
bonbori and hoozuki (otome youkai zakuro) drawn by oginy,792665,110107,https://cdn.donmai.us/original/3c/a4/3ca4cc3fdb3ddbca1dacf63543cbf18b.jpg,,,,,,8,https://www.pixiv.net/artworks/14703694
"zakuro, susukihotaru, bonbori, hoozuki, agemaki kei, and 5 more (otome youkai zakuro) drawn by tayu",790896,131377,https://cdn.donmai.us/original/19/81/19811c63bee72fe25331383d78b01adc.png,,,,,,2,https://www.pixiv.net/artworks/14610679
susukihotaru (otome youkai zakuro) drawn by gojou_kurota,790766,102191,https://cdn.donmai.us/original/f2/57/f2578946869fa8a7bf1801097d594cf9.jpg,,,,,,8,https://www.pixiv.net/artworks/14653565
zakuro (otome youkai zakuro),790356,18205,https://cdn.donmai.us/original/84/72/8472d52c43c30e0728a49aab9e648986.gif,,,,,,1,
susukihotaru (otome youkai zakuro) drawn by yukkyun,789457,131377,https://cdn.donmai.us/original/57/de/57de8430347754d354b2b5261673d0fa.jpg,,,,,,3,https://www.pixiv.net/artworks/14596718
