title,dataid,uploaderid,originalimage,artisttags,copyrighttags,charactertags,generaltags,metatags,datascore,sourcelink
"mismis klass, sisbell lou nebulis ix, and nene alkastone (kimi to boku no saigo no senjou arui wa sekai ga hajimaru seisen) drawn by nekonabe_ao",4277340,449845,https://cdn.donmai.us/original/09/e0/09e086ea0ac36d499f84ca8d088b5833.jpg,nekonabe_ao,kimi_to_boku_no_saigo_no_senjou_arui_wa_sekai_ga_hajimaru_seisen,"mismis_klass,nene_alkastone,sisbell_lou_nebulis_ix","3girls,:3,:d,animal_ears,black_sweater,bow,breasts,cat_ears,character_name,cleavage,collarbone,dress,facing_viewer,fake_animal_ears,green_jacket,grey_hair,hair_bow,high_heels,holding,holding_rope,hood,hood_down,hood_up,hooded_jacket,hooded_sweater,jacket,jewelry,long_hair,medium_breasts,multiple_girls,necklace,open_clothes,open_jacket,open_mouth,pink_hair,ponytail,red_footwear,red_hair,rope,short_hair,sidelocks,sleeveless,sleeveless_dress,smile,split_screen,strapless,strapless_dress,sweatdrop,sweater,very_long_hair,wedding_dress,white_bow,white_dress","highres,non-web_source,novel_illustration,official_art",7,キミと僕の最後の戦場、あるいは世界が始まる聖戦 10
nene alkastone (kimi to boku no saigo no senjou arui wa sekai ga hajimaru seisen) drawn by nekonabe_ao,3400204,449845,https://cdn.donmai.us/original/0f/49/0f49ec1c3ebd73d19319171eb547384c.png,nekonabe_ao,kimi_to_boku_no_saigo_no_senjou_arui_wa_sekai_ga_hajimaru_seisen,nene_alkastone,"1girl,;d,arm_up,bikini,breasts,cleavage,collarbone,cowboy_shot,curtains,floating_hair,front-tie_bikini_top,front-tie_top,greyscale,groin,hair_between_eyes,hand_in_own_hair,long_hair,looking_at_viewer,medium_breasts,monochrome,navel,one_eye_closed,open_mouth,ponytail,smile,solo,standing,star_(symbol),swimsuit,thigh_gap,very_long_hair","highres,non-web_source,novel_illustration,official_art",10,キミと僕の最後の戦場、あるいは世界が始まる聖戦 04
